@relation 'day-of-week-data/adel.train'
@attribute F0 {Adelaide}
@attribute F1 real
@attribute F2 real
@attribute F3 real
@attribute F4 real
@attribute F5 real
@attribute F6 real
@attribute F7 real
@attribute F8 real
@attribute F9 real
@attribute F10 real
@attribute F11 real
@attribute F12 real
@attribute F13 real
@attribute F14 real
@attribute F15 real
@attribute F16 real
@attribute F17 real
@attribute F18 real
@attribute F19 real
@attribute F20 real
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}
@data
Adelaide,1956,11,26,0.0,8.3,18.3,14.1,7.2,?,?,?,40000.0,45000.0,40625.0,6.1,11.1,8.3,?,?,?,Mon
Adelaide,1956,12,10,0.0,11.7,18.9,15.4,6.2,?,?,?,24000.0,40000.0,34750.0,7.2,10.6,9.2,?,?,?,Mon
Adelaide,1956,12,24,0.0,13.3,20.6,17.2,10.3,?,?,?,30000.0,40000.0,37500.0,3.3,15.0,9.9,?,?,?,Mon
Adelaide,1956,01,09,0.0,16.1,25.0,21.0,8.2,?,?,?,30000.0,45000.0,34375.0,3.9,16.1,11.7,?,?,?,Mon
Adelaide,1956,01,16,0.0,16.1,27.8,21.1,5.1,?,?,?,24000.0,40000.0,35500.0,8.3,11.7,9.6,?,?,?,Mon
Adelaide,1956,01,23,0.0,17.8,28.9,24.1,8.2,?,?,?,24000.0,40000.0,34750.0,3.9,12.2,8.1,?,?,?,Mon
Adelaide,1956,01,30,0.0,20.6,32.2,26.2,7.2,?,?,?,30000.0,40000.0,38750.0,7.2,15.0,10.3,?,?,?,Mon
Adelaide,1956,02,06,6.0,22.2,27.2,25.7,6.2,?,?,?,30000.0,40000.0,35000.0,11.1,18.9,16.4,?,?,?,Mon
Adelaide,1956,02,13,0.0,12.8,24.4,19.0,9.3,?,?,?,24000.0,45000.0,40500.0,10.0,13.3,11.9,?,?,?,Mon
Adelaide,1956,02,20,0.0,16.7,29.4,24.0,6.2,?,?,?,12000.0,45000.0,31875.0,13.9,18.9,16.4,?,?,?,Mon
Adelaide,1956,02,27,0.0,16.1,26.1,20.8,6.2,?,?,?,30000.0,45000.0,33750.0,7.2,12.8,10.1,?,?,?,Mon
Adelaide,1956,03,05,21.0,19.4,26.7,22.5,3.6,?,?,?,24000.0,40000.0,30750.0,17.2,20.0,18.7,?,?,?,Mon
Adelaide,1956,03,12,0.0,16.1,26.7,20.6,7.2,?,?,?,30000.0,45000.0,36875.0,12.8,15.6,14.1,?,?,?,Mon
Adelaide,1956,03,19,0.0,18.9,22.8,20.2,3.6,?,?,?,24000.0,30000.0,27750.0,15.6,17.2,16.3,?,?,?,Mon
Adelaide,1956,03,26,0.0,20.6,29.4,25.4,7.2,?,?,?,24000.0,45000.0,36750.0,8.3,13.9,10.8,?,?,?,Mon
Adelaide,1956,04,02,0.0,21.7,30.6,25.9,7.7,?,?,?,30000.0,40000.0,32500.0,11.7,16.7,14.7,?,?,?,Mon
Adelaide,1956,04,09,4.0,15.0,18.9,16.7,13.9,?,?,?,24000.0,30000.0,27750.0,11.1,14.4,12.9,?,?,?,Mon
Adelaide,1956,04,16,6.0,15.6,17.2,16.3,14.4,?,?,?,16000.0,30000.0,25000.0,10.6,14.4,12.5,?,?,?,Mon
Adelaide,1956,04,23,0.0,13.3,20.0,16.4,6.7,?,?,?,16000.0,40000.0,32000.0,7.8,10.0,8.8,?,?,?,Mon
Adelaide,1956,04,30,0.0,11.7,22.2,17.3,2.6,?,?,?,24000.0,40000.0,29750.0,9.4,13.3,11.5,?,?,?,Mon
Adelaide,1956,05,07,0.0,9.4,21.7,14.9,1.0,?,?,?,8000.0,30000.0,20500.0,5.6,11.1,8.3,?,?,?,Mon
Adelaide,1956,05,14,0.0,13.9,20.0,16.4,6.2,?,?,?,12000.0,40000.0,25375.0,8.3,12.2,10.5,?,?,?,Mon
Adelaide,1956,06,04,4.0,8.9,12.8,11.8,10.8,?,?,?,9000.0,30000.0,18875.0,7.8,10.0,8.9,?,?,?,Mon
Adelaide,1956,06,11,4.0,10.6,16.1,13.2,16.5,?,?,?,24000.0,30000.0,25500.0,4.4,9.4,7.8,?,?,?,Mon
Adelaide,1956,06,18,6.0,7.8,13.3,9.9,6.2,?,?,?,11000.0,40000.0,22875.0,5.0,7.2,5.9,?,?,?,Mon
Adelaide,1956,06,25,0.0,8.9,13.9,10.6,4.1,?,?,?,12000.0,24000.0,20000.0,3.9,9.4,7.2,?,?,?,Mon
Adelaide,1956,07,09,0.3,7.8,13.3,10.0,4.1,?,?,?,24000.0,40000.0,31750.0,0.6,7.2,4.4,?,?,?,Mon
Adelaide,1956,07,16,9.0,7.2,11.7,9.4,9.3,?,?,?,8000.0,24000.0,15750.0,4.4,9.4,6.7,?,?,?,Mon
Adelaide,1956,07,30,3.0,7.8,12.8,10.0,3.1,?,?,?,0.0,24000.0,12400.0,6.1,9.4,7.8,?,?,?,Mon
Adelaide,1956,08,06,0.0,10.6,15.6,12.4,9.3,?,?,?,24000.0,45000.0,34875.0,2.8,7.8,4.6,?,?,?,Mon
Adelaide,1956,08,13,1.0,11.7,14.4,12.6,9.8,?,?,?,24000.0,24000.0,24000.0,8.3,10.0,9.2,?,?,?,Mon
Adelaide,1956,08,27,0.0,6.1,15.6,10.6,4.1,?,?,?,12000.0,45000.0,27875.0,3.3,7.2,5.1,?,?,?,Mon
Adelaide,1956,09,17,0.0,11.7,22.2,16.5,6.2,?,?,?,16000.0,40000.0,32000.0,6.1,10.0,8.7,?,?,?,Mon
Adelaide,1956,09,24,0.0,15.6,20.6,17.9,9.3,?,?,?,30000.0,45000.0,35625.0,0.6,4.4,2.4,?,?,?,Mon
Adelaide,1956,10,01,0.0,7.8,16.7,12.4,2.1,?,?,?,4800.0,45000.0,28225.0,5.6,8.3,7.3,?,?,?,Mon
Adelaide,1956,10,08,0.0,15.0,20.6,18.3,10.3,?,?,?,30000.0,40000.0,38750.0,0.6,4.4,2.4,?,?,?,Mon
Adelaide,1956,10,22,0.0,11.7,17.8,14.7,10.3,?,?,?,24000.0,45000.0,30875.0,5.6,11.1,9.0,?,?,?,Mon
Adelaide,1956,10,29,0.0,9.4,15.6,12.5,12.3,?,?,?,12000.0,30000.0,23750.0,5.6,8.9,6.8,?,?,?,Mon
Adelaide,1956,11,05,0.0,11.1,18.9,14.1,8.7,?,?,?,24000.0,40000.0,30250.0,5.0,8.3,6.3,?,?,?,Mon
Adelaide,1956,11,12,2.0,10.0,17.8,13.8,3.1,?,?,?,16000.0,40000.0,26750.0,7.8,11.1,9.6,?,?,?,Mon
Adelaide,1956,11,19,0.0,8.3,17.2,13.2,10.3,?,?,?,30000.0,45000.0,38750.0,2.8,7.2,5.4,?,?,?,Mon
